frame 1598 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1600 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1602 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1604 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1606 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1608 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1610 PC 019cf2 D0 0000e04d D1 00002068 A0 002a67a4 A1 00303738 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffbc80
frame 1612 PC 019cf2 D0 0000e04d D1 00002068 A0 002a67a4 A1 00303738 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffbc80
frame 1614 PC 019cf2 D0 0000e04d D1 00002068 A0 002a67a4 A1 00303738 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffbc80
frame 1616 PC 019cf2 D0 0000e04d D1 00002068 A0 002a67a4 A1 00303738 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffbc80
frame 1618 PC 019cf2 D0 0000e04d D1 00002068 A0 002a67a4 A1 00303738 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffbc80
frame 1620 PC 019cf2 D0 0000e04d D1 00002068 A0 002a67a4 A1 00303738 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffbc80
frame 1622 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1624 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1626 PC 019a54 D0 0000e163 D1 00002020 A0 002a673a A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1628 PC 019a54 D0 0000e163 D1 00002020 A0 002a673a A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1630 PC 019a54 D0 0000e163 D1 00002020 A0 002a673a A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1632 PC 019a54 D0 0000e163 D1 00002020 A0 002a673a A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1634 PC 019a54 D0 0000e163 D1 00002020 A0 002a673a A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1636 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1638 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1640 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1642 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1644 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1646 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1648 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
